kinase,uniprot,Ensembl_Gene_ID
LMR2,Q8IWU2,ENSG00000164715
JNK1,P45983,ENSG00000107643
INSR,P06213,ENSG00000171105
p38d MAPK,O15264,ENSG00000156711
JNK2,P45984,ENSG00000050748
JNK3,P53779,ENSG00000109339
CLK1 ,P49759,ENSG00000013441
DYRK1A,Q13627,ENSG00000157540
DYRK1B,Q9Y463,ENSG00000105204
DYRK2,Q92630,ENSG00000127334
DYRK3,O43781,ENSG00000143479
KHS2 ,Q8IVH8,ENSG00000011566
LKB1 ,Q15831,ENSG00000118046
MEK3,P46734,ENSG00000034152
MEK6,P52564,ENSG00000108984
PAK4,O96013,ENSG00000130669
PAK5,Q9P286,ENSG00000101349
PKCa,P17252,ENSG00000154229
PKCb,P05771,ENSG00000166501
PKCd,Q05655,ENSG00000163932
PKCe,Q02156,ENSG00000171132
PKCg,P05129,ENSG00000126583
PKCh,P24723,ENSG00000027075
PKCt,Q04759,ENSG00000065675
RIPK3 ,Q9Y572,ENSG00000129465
Sgk494 ,Q96LW2,ENSG00000167524
SPEG,Q15772,ENSG00000072195
STLK3 ,Q9UEW8,ENSG00000198648
TTBK2,Q6IQ55,ENSG00000128881
CDK1 (CDC2),P06493,ENSG00000170312
CDK3,Q00526,ENSG00000250506
CDK5,Q00535,ENSG00000164885
CDK6,Q00534,ENSG00000105810
CDK9,P50750,ENSG00000136807
CDKL2,Q92772,ENSG00000138769
CDKL4 (AA626859),Q5MAI5,ENSG00000205111
CDKL5 (STK9),O76039,ENSG00000008086
YSK4 (FLJ23074),Q56UN5,ENSG00000176601